stamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23
1714571311.192420483, 0.026, -1.000, -0.000, -0.014, 1.000, 0.026, -0.013, 0.023, 0.013, 0.000, 1.000, 0.197
1714571312.192339897, 0.026, -1.000, -0.001, -0.015, 1.000, 0.026, -0.012, 0.022, 0.012, -0.001, 1.000, 0.188
1714571313.292251348, 0.027, -1.000, 0.000, -0.018, 1.000, 0.027, -0.012, 0.019, 0.012, 0.000, 1.000, 0.221
1714571314.192178965, 0.026, -1.000, 0.000, -0.017, 1.000, 0.026, -0.012, 0.020, 0.012, 0.000, 1.000, 0.180
1714571315.192098379, 0.026, -1.000, -0.001, -0.016, 1.000, 0.026, -0.012, 0.021, 0.012, -0.000, 1.000, 0.178
1714571316.292009830, 0.025, -1.000, -0.001, -0.015, 1.000, 0.025, -0.012, 0.023, 0.012, -0.000, 1.000, 0.173
1714571317.191937208, 0.026, -1.000, -0.000, -0.018, 1.000, 0.026, -0.012, 0.021, 0.012, -0.000, 1.000, 0.205
1714571318.191856861, 0.026, -1.000, -0.001, -0.017, 1.000, 0.026, -0.012, 0.023, 0.012, -0.000, 1.000, 0.195
1714571319.191776276, 0.026, -1.000, -0.001, -0.014, 1.000, 0.026, -0.013, 0.021, 0.013, -0.000, 1.000, 0.157
1714571320.091703892, 0.027, -1.000, 0.001, -0.014, 1.000, 0.027, -0.012, 0.024, 0.012, 0.001, 1.000, 0.223
1714571321.091623306, 0.027, -1.000, -0.000, -0.018, 1.000, 0.027, -0.012, 0.022, 0.012, 0.000, 1.000, 0.177
1714571322.191534519, 0.027, -1.000, -0.000, -0.018, 1.000, 0.027, -0.013, 0.024, 0.013, 0.000, 1.000, 0.174
1714571323.291445971, 0.026, -1.000, 0.000, -0.017, 1.000, 0.026, -0.012, 0.022, 0.012, 0.001, 1.000, 0.209
1714571323.391438007, 0.026, -1.000, 0.000, -0.017, 1.000, 0.026, -0.012, 0.022, 0.012, 0.001, 1.000, 0.222
1714571325.391276836, 0.027, -1.000, -0.000, -0.018, 1.000, 0.027, -0.012, 0.019, 0.012, -0.000, 1.000, 0.216
1714571326.291204453, 0.027, -1.000, -0.000, -0.013, 1.000, 0.027, -0.013, 0.020, 0.013, -0.000, 1.000, 0.188
1714571327.091140032, 0.026, -1.000, -0.000, -0.015, 1.000, 0.026, -0.012, 0.017, 0.012, 0.000, 1.000, 0.184
1714571328.191051483, 0.027, -1.000, -0.001, -0.016, 1.000, 0.027, -0.012, 0.015, 0.012, -0.001, 1.000, 0.189
1714571345.589649916, 0.048, -0.999, -0.009, 0.651, 0.999, 0.048, -0.008, 12.077, 0.008, -0.008, 1.000, 0.178
1714571346.189601660, 0.054, -0.999, -0.009, 0.690, 0.998, 0.054, -0.014, 12.613, 0.014, -0.008, 1.000, 0.164
1714571347.189521074, 0.058, -0.998, -0.004, 0.736, 0.998, 0.058, -0.012, 13.588, 0.012, -0.004, 1.000, 0.170
1714571348.289432526, 0.073, -0.997, -0.007, 0.822, 0.997, 0.073, -0.009, 14.611, 0.010, -0.006, 1.000, 0.163
1714571349.189359903, 0.087, -0.996, -0.006, 0.890, 0.996, 0.087, -0.010, 15.457, 0.010, -0.005, 1.000, 0.173
