stamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23
1666267158.060617924, -0.825, 0.548, 0.135, 28.927, -0.555, -0.831, -0.019, -3.081, 0.102, -0.091, 0.991, 1.911
1666267167.965450048, -0.346, 0.931, 0.113, 30.877, -0.927, -0.358, 0.112, -2.575, 0.145, -0.065, 0.987, 2.020
1666267169.108335018, -0.358, 0.929, 0.092, 31.127, -0.925, -0.367, 0.101, -2.471, 0.128, -0.049, 0.991, 2.036
1666267169.870217085, -0.346, 0.931, 0.114, 31.316, -0.928, -0.358, 0.102, -2.375, 0.136, -0.070, 0.988, 2.041
1666267170.251219034, -0.343, 0.931, 0.123, 31.396, -0.929, -0.355, 0.102, -2.337, 0.139, -0.080, 0.987, 2.043
1666267170.822598934, -0.337, 0.932, 0.134, 31.501, -0.930, -0.352, 0.105, -2.268, 0.145, -0.089, 0.985, 2.042
1666267171.394104004, -0.249, 0.958, 0.141, 31.559, -0.955, -0.267, 0.130, -2.231, 0.162, -0.103, 0.981, 2.042
1666267171.965483904, -0.252, 0.958, 0.137, 31.572, -0.955, -0.269, 0.128, -2.220, 0.159, -0.099, 0.982, 2.041
1666267172.536988974, -0.254, 0.958, 0.130, 31.598, -0.955, -0.270, 0.123, -2.215, 0.153, -0.093, 0.984, 2.041
1666267173.679748058, -0.265, 0.956, 0.127, 31.828, -0.955, -0.279, 0.101, -2.087, 0.132, -0.095, 0.987, 2.051
1666267174.251254082, -0.263, 0.957, 0.124, 31.950, -0.957, -0.275, 0.089, -2.022, 0.119, -0.096, 0.988, 2.053
1666267174.822632074, -0.268, 0.955, 0.129, 32.088, -0.957, -0.280, 0.082, -1.952, 0.114, -0.101, 0.988, 2.061
1666267175.203634977, -0.267, 0.955, 0.130, 32.171, -0.956, -0.280, 0.088, -1.897, 0.121, -0.101, 0.988, 2.062
1666267175.584638119, -0.268, 0.956, 0.121, 32.243, -0.957, -0.278, 0.077, -1.862, 0.107, -0.096, 0.990, 2.069
1666267176.346518993, -0.225, 0.968, 0.113, 32.341, -0.968, -0.235, 0.085, -1.761, 0.109, -0.090, 0.990, 2.074
1666267177.108401060, -0.213, 0.971, 0.110, 32.372, -0.971, -0.223, 0.086, -1.763, 0.109, -0.089, 0.990, 2.077
1666267177.870281935, -0.213, 0.971, 0.109, 32.386, -0.971, -0.222, 0.086, -1.766, 0.108, -0.088, 0.990, 2.079
1666267179.203669071, -0.214, 0.971, 0.109, 32.389, -0.971, -0.224, 0.086, -1.757, 0.108, -0.088, 0.990, 2.080
1666267179.965549946, -0.221, 0.970, 0.104, 32.527, -0.969, -0.231, 0.089, -1.666, 0.110, -0.081, 0.991, 2.086
1666267180.346553087, -0.217, 0.970, 0.112, 32.615, -0.969, -0.227, 0.093, -1.624, 0.116, -0.088, 0.989, 2.093
1666267180.917933941, -0.214, 0.970, 0.113, 32.705, -0.970, -0.225, 0.090, -1.565, 0.113, -0.091, 0.989, 2.095
1666267181.870316029, -0.204, 0.975, 0.088, 32.894, -0.975, -0.210, 0.076, -1.427, 0.093, -0.070, 0.993, 2.112
1666267182.822699070, -0.201, 0.976, 0.081, 33.070, -0.975, -0.207, 0.076, -1.296, 0.090, -0.063, 0.994, 2.127
1666267183.394203901, -0.206, 0.975, 0.086, 33.146, -0.974, -0.213, 0.082, -1.255, 0.099, -0.067, 0.993, 2.133
1666267183.965583086, -0.207, 0.974, 0.088, 33.135, -0.973, -0.214, 0.083, -1.241, 0.099, -0.068, 0.993, 2.134
1666267184.346586943, -0.212, 0.974, 0.085, 33.146, -0.973, -0.219, 0.080, -1.253, 0.096, -0.065, 0.993, 2.134
