stamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23
1727351212.496598244, 0.644, -0.765, 0.021, -77.258, 0.755, 0.631, -0.177, -52.580, 0.122, 0.129, 0.984, -5.672
1727351214.494110346, 0.590, -0.804, 0.076, -77.061, 0.785, 0.549, -0.286, -53.789, 0.188, 0.229, 0.955, -6.024
1727351215.194356441, 0.592, -0.805, 0.030, -77.016, 0.788, 0.570, -0.232, -54.209, 0.169, 0.161, 0.972, -6.128
1727351215.994350195, 0.701, -0.714, -0.004, -76.997, 0.692, 0.680, -0.242, -54.758, 0.176, 0.167, 0.970, -6.255
1727351216.694211721, 0.818, -0.575, -0.000, -77.038, 0.564, 0.802, -0.196, -55.160, 0.113, 0.161, 0.981, -6.332
1727351217.393695831, 0.849, -0.529, 0.012, -77.150, 0.523, 0.836, -0.167, -55.646, 0.078, 0.148, 0.986, -6.416
1727351218.394634008, 0.841, -0.540, 0.028, -77.319, 0.537, 0.828, -0.162, -56.394, 0.064, 0.151, 0.986, -6.524
1727351219.394076109, 0.830, -0.556, 0.036, -77.477, 0.557, 0.823, -0.111, -57.125, 0.032, 0.112, 0.993, -6.617
1727351220.395421743, 0.972, -0.234, 0.014, -77.603, 0.234, 0.965, -0.119, -57.669, 0.014, 0.119, 0.993, -6.677
1727351221.394024372, 0.985, 0.153, 0.084, -77.944, -0.148, 0.987, -0.066, -57.931, -0.093, 0.052, 0.994, -6.693
1727351222.393703461, 0.886, 0.432, 0.168, -78.104, -0.435, 0.900, -0.019, -58.001, -0.159, -0.056, 0.986, -6.685
1727351223.397473574, 0.882, 0.470, -0.030, -77.955, -0.471, 0.878, -0.089, -57.942, -0.016, 0.093, 0.996, -6.712
1727351224.396818638, 0.879, 0.475, -0.021, -77.654, -0.475, 0.873, -0.113, -57.884, -0.035, 0.109, 0.993, -6.723
1727351225.396254063, 0.879, 0.475, -0.028, -77.662, -0.475, 0.872, -0.117, -57.877, -0.031, 0.116, 0.993, -6.723
1727351226.396760464, 0.984, 0.174, -0.028, -77.676, -0.176, 0.981, -0.085, -57.886, 0.012, 0.089, 0.996, -6.725
1727351227.397237778, 0.999, -0.021, -0.028, -77.689, 0.019, 0.997, -0.068, -57.924, 0.029, 0.068, 0.997, -6.730
1727351228.396564722, 0.999, -0.046, 0.017, -77.804, 0.045, 0.997, 0.055, -58.018, -0.020, -0.054, 0.998, -6.685
1727351229.396742821, 0.997, -0.081, 0.000, -77.920, 0.080, 0.979, 0.188, -58.117, -0.015, -0.187, 0.982, -6.660
1727351230.397650242, 0.991, -0.131, -0.006, -78.245, 0.130, 0.975, 0.180, -58.459, -0.017, -0.180, 0.984, -6.625
1727351231.298324108, 0.998, 0.058, -0.021, -78.372, -0.052, 0.972, 0.229, -58.433, 0.034, -0.228, 0.973, -6.643
1727351232.398780107, 0.997, 0.067, 0.030, -78.558, -0.073, 0.962, 0.261, -58.552, -0.011, -0.263, 0.965, -6.602
1727351233.396837473, 0.996, 0.068, 0.055, -78.553, -0.080, 0.961, 0.263, -58.551, -0.035, -0.267, 0.963, -6.606
1727351234.397565603, 0.996, 0.062, 0.059, -78.560, -0.075, 0.963, 0.260, -58.555, -0.041, -0.263, 0.964, -6.607
