stamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23
1725981134.252907038, -0.704, 0.656, 0.274, 0.220, -0.682, -0.732, -0.000, -0.000, 0.200, -0.187, 0.962, 0.472
1725981136.952840090, -0.703, 0.657, 0.270, 0.289, -0.682, -0.731, 0.004, -0.003, 0.200, -0.182, 0.963, 0.474
1725981138.552570343, -0.698, 0.663, 0.272, 0.538, -0.688, -0.726, 0.004, -0.013, 0.200, -0.184, 0.962, 0.473
1725981140.252632141, -0.697, 0.666, 0.266, 0.934, -0.696, -0.718, -0.023, -0.031, 0.176, -0.201, 0.964, 0.483
1725981141.752830029, -0.697, 0.667, 0.266, 0.953, -0.696, -0.718, -0.024, -0.025, 0.175, -0.201, 0.964, 0.480
1725981143.252910614, -0.696, 0.667, 0.264, 0.961, -0.696, -0.717, -0.023, -0.026, 0.174, -0.200, 0.964, 0.480
1725981144.752795935, -0.696, 0.667, 0.264, 0.959, -0.696, -0.717, -0.023, -0.029, 0.174, -0.200, 0.964, 0.479
1725981146.352763176, -0.696, 0.668, 0.263, 0.962, -0.696, -0.717, -0.023, -0.028, 0.174, -0.199, 0.964, 0.479
1725981147.952575684, -0.248, 0.942, 0.225, 0.953, -0.950, -0.282, 0.132, 0.063, 0.187, -0.181, 0.966, 0.477
1725981149.452553749, 0.642, 0.766, -0.018, 0.838, -0.737, 0.624, 0.261, 0.125, 0.211, -0.154, 0.965, 0.486
1725981150.952247143, 0.682, 0.730, -0.047, 0.907, -0.674, 0.653, 0.345, 0.379, 0.283, -0.204, 0.937, 0.460
1725981152.552260876, 0.686, 0.726, -0.038, 0.937, -0.651, 0.637, 0.413, 0.712, 0.324, -0.259, 0.910, 0.411
1725981154.052595139, 0.565, 0.825, -0.002, 0.904, -0.780, 0.535, 0.324, 0.993, 0.269, -0.182, 0.946, 0.411
1725981155.652904510, 0.376, 0.926, 0.030, 1.029, -0.907, 0.362, 0.215, 1.346, 0.188, -0.108, 0.976, 0.450
1725981157.851716757, 0.483, 0.875, 0.034, 1.203, -0.832, 0.447, 0.329, 1.939, 0.273, -0.187, 0.944, 0.416
1725981159.251641750, 0.497, 0.868, 0.013, 1.293, -0.849, 0.483, 0.216, 2.270, 0.181, -0.118, 0.976, 0.455
1725981162.851388216, 0.510, 0.859, 0.046, 1.538, -0.855, 0.500, 0.134, 3.078, 0.092, -0.108, 0.990, 0.535
1725981166.951287031, 0.590, 0.762, 0.267, 1.828, -0.753, 0.639, -0.158, 3.640, -0.291, -0.108, 0.951, 0.681
1725981168.350806713, 0.579, 0.765, 0.281, 1.844, -0.749, 0.635, -0.187, 3.656, -0.322, -0.102, 0.941, 0.701
1725981169.851171255, 0.548, 0.796, 0.255, 1.894, -0.740, 0.604, -0.296, 3.718, -0.389, -0.026, 0.921, 0.761
1725981171.151708364, 0.646, 0.725, 0.238, 1.892, -0.633, 0.683, -0.364, 3.743, -0.427, 0.085, 0.901, 0.844
1725981172.551512480, 0.709, 0.654, 0.263, 1.982, -0.558, 0.748, -0.359, 3.924, -0.432, 0.108, 0.895, 0.930
1725981173.950789690, 0.615, 0.771, 0.164, 1.947, -0.647, 0.613, -0.453, 3.893, -0.450, 0.173, 0.876, 0.939
1725981175.449683428, 0.380, 0.901, 0.210, 1.965, -0.867, 0.426, -0.259, 4.047, -0.323, -0.084, 0.943, 0.923
1725981176.850446701, 0.379, 0.901, 0.211, 1.956, -0.867, 0.425, -0.259, 4.050, -0.324, -0.085, 0.942, 0.923
1725981178.450558424, 0.378, 0.901, 0.212, 1.955, -0.867, 0.425, -0.259, 4.045, -0.324, -0.085, 0.942, 0.920
1725981180.050261259, 0.348, 0.915, 0.205, 1.934, -0.888, 0.392, -0.242, 4.063, -0.302, -0.098, 0.948, 0.923
1725981181.550553322, 0.345, 0.916, 0.203, 1.949, -0.887, 0.389, -0.250, 4.066, -0.308, -0.094, 0.947, 0.926
1725981183.050825119, 0.332, 0.918, 0.217, 1.957, -0.903, 0.376, -0.208, 4.108, -0.272, -0.127, 0.954, 0.934
1725981184.450479031, 0.338, 0.917, 0.212, 1.953, -0.931, 0.359, -0.068, 4.145, -0.139, -0.174, 0.975, 0.913
1725981186.550602198, 0.338, 0.917, 0.213, 1.949, -0.931, 0.359, -0.068, 4.146, -0.139, -0.176, 0.975, 0.912
1725981188.050714493, 0.337, 0.917, 0.213, 1.946, -0.931, 0.358, -0.067, 4.145, -0.138, -0.176, 0.975, 0.912
1725981189.449927330, 0.295, 0.924, 0.242, 1.971, -0.894, 0.357, -0.272, 4.035, -0.338, -0.136, 0.931, 0.902
1725981191.150418997, 0.250, 0.961, 0.119, 1.922, -0.964, 0.258, -0.062, 4.246, -0.090, -0.099, 0.991, 0.975
1725981192.650042295, 0.231, 0.967, 0.109, 1.943, -0.973, 0.228, 0.034, 4.347, 0.008, -0.114, 0.993, 0.980
1725981194.249804258, 0.242, 0.967, 0.082, 1.969, -0.970, 0.238, 0.056, 4.382, 0.034, -0.093, 0.995, 0.987
1725981195.550038099, 0.244, 0.967, 0.079, 1.959, -0.969, 0.240, 0.055, 4.382, 0.034, -0.090, 0.995, 0.993
1725981196.950048447, 0.253, 0.963, 0.089, 1.964, -0.967, 0.249, 0.055, 4.385, 0.031, -0.100, 0.994, 0.993
1725981198.449516296, 0.258, 0.961, 0.103, 1.983, -0.965, 0.251, 0.070, 4.387, 0.041, -0.118, 0.992, 0.991
1725981199.749588013, 0.256, 0.962, 0.094, 1.964, -0.966, 0.251, 0.059, 4.383, 0.033, -0.106, 0.994, 0.995
